API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
321537618,2435,321540053,4896315,326436368,9024,4907774,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321541155,2174,321543329,4902607,326445936,1079501,5984282,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321543860,2274,321546134,5979527,327525661,9024,5990825,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321546575,2315,321548890,5986051,327534941,1065486,7053852,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321550292,2084,321552376,7048275,328600651,8960,7059319,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321552817,2164,321554981,7054854,328609835,1061230,8118248,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321555422,2334,321557756,8113565,329671321,9024,8124923,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321558197,2234,321560431,8120170,329680601,1088334,9210738,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321561012,2104,321563116,9206043,330769159,8992,9217139,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321563637,2866,321566503,9211904,330778407,1064846,10279616,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321567024,2294,321569318,10274159,331843477,8960,10285413,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
321569759,2084,321571843,10280850,331852693,1063406,11346340,570413,570413,0,cudaLaunchKernel,   4 1024    1, 128    1    1,"gem16::internal::<unnamed>::MmaW4A8ProjectionGroupedPrefillTileKernel(const unsigned char *, const float *, gem16::internal::Trellis35DeviceFamilyBinding, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, float *, unsigned long, unsigned long, unsigned long)"
321572273,2104,321574377,11341978,332916355,8991,11353073,570413,570413,0,cudaLaunchKernel,1024    1    1, 128    1    1,"gem16::internal::<unnamed>::PrefillOutputTransformTileKernel(const float *, const unsigned short *, const gem16::internal::Gemma4MoePrefillAssignment *, float *, unsigned long, unsigned long, unsigned long)"
